iter	Passed	Remaining
874	3704	529
875	3708	524
876	3712	520
877	3716	516
878	3721	512
879	3724	507
880	3729	503
881	3734	499
882	3738	495
883	3742	491
884	3746	486
885	3751	482
886	3755	478
887	3759	474
888	3763	469
889	3767	465
890	3771	461
891	3775	457
892	3779	452
893	3783	448
894	3787	444
895	3791	440
896	3795	435
897	3799	431
898	3803	427
899	3807	423
900	3811	418
901	3816	414
902	3820	410
903	3824	406
904	3829	401
905	3834	397
906	3838	393
907	3842	389
908	3847	385
909	3851	380
910	3855	376
911	3859	372
912	3863	368
913	3868	363
914	3872	359
915	3876	355
916	3880	351
917	3885	347
918	3889	342
919	3893	338
920	3897	334
921	3901	330
922	3905	325
923	3909	321
924	3913	317
925	3917	313
926	3921	308
927	3926	304
928	3930	300
929	3934	296
930	3938	291
931	3942	287
932	3946	283
933	3951	279
934	3955	274
935	3959	270
936	3963	266
937	3967	262
938	3971	257
939	3975	253
940	3979	249
941	3983	245
942	3987	241
943	3992	236
944	3996	232
945	4001	228
946	4005	224
947	4009	219
948	4014	215
949	4018	211
950	4022	207
951	4026	203
952	4030	198
953	4035	194
954	4039	190
955	4043	186
956	4047	181
957	4051	177
958	4055	173
959	4059	169
960	4063	164
961	4068	160
962	4072	156
963	4076	152
964	4080	147
965	4084	143
966	4089	139
967	4092	135
968	4096	131
969	4101	126
970	4105	122
971	4109	118
972	4113	114
973	4117	109
974	4122	105
975	4126	101
976	4130	97
977	4135	93
978	4139	88
979	4144	84
980	4147	80
981	4152	76
982	4156	71
983	4160	67
984	4164	63
985	4168	59
986	4172	54
987	4176	50
988	4180	46
989	4184	42
990	4188	38
991	4192	33
992	4196	29
993	4200	25
994	4204	21
995	4208	16
996	4212	12
997	4216	8
998	4220	4
999	4224	0
